Contract: number,Customer: title,Contract target: products title,Contract target: sum,Contract: date,Finish date: by contract
59-ПЭО/15,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСЗЕЛЕНХОЗ""",Смеси асфальтобетонные дорожные,'28036032.33',01.10.2015,12.2015
59-ПЭО/15,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСЗЕЛЕНХОЗ""",Смеси асфальтобетонные дорожные,'28036032.33',01.10.2015,12.2015
59-ПЭО/15,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСЗЕЛЕНХОЗ""",Смеси асфальтобетонные дорожные,'28036032.33',01.10.2015,12.2015
59-ПЭО/15,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСЗЕЛЕНХОЗ""",Смеси асфальтобетонные дорожные,'28036032.33',01.10.2015,12.2015
59-ПЭО/15,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСЗЕЛЕНХОЗ""",Смеси асфальтобетонные дорожные,'28036032.33',01.10.2015,12.2015
01/2015-12/2016 ТО,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО Г. МОСКВЕ,Работы по техническому обслуживанию (содержанию) административных и торговых зданий,'5998320.00',31.12.2014,12.2016
01/2015-12/2016 ТО,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО Г. МОСКВЕ,Работы по техническому обслуживанию (содержанию) административных и торговых зданий,'5998320.00',31.12.2014,12.2016
01/2015-12/2016 ТО,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО Г. МОСКВЕ,Работы по техническому обслуживанию (содержанию) административных и торговых зданий,'5998320.00',31.12.2014,12.2016
01/2015-12/2016 ТО,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО Г. МОСКВЕ,Работы по техническому обслуживанию (содержанию) административных и торговых зданий,'5998320.00',31.12.2014,12.2016
01/2015-12/2016 ТО,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ АНТИМОНОПОЛЬНОЙ СЛУЖБЫ ПО Г. МОСКВЕ,Работы по техническому обслуживанию (содержанию) административных и торговых зданий,'5998320.00',31.12.2014,12.2016
69-ПЭО/14,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСЗЕЛЕНХОЗ""",Услуги по аренде прочих машин и оборудования,'48000000.00',26.12.2014,05.2015
69-ПЭО/14,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСЗЕЛЕНХОЗ""",Услуги по аренде прочих машин и оборудования,'48000000.00',26.12.2014,05.2015
69-ПЭО/14,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСЗЕЛЕНХОЗ""",Услуги по аренде прочих машин и оборудования,'48000000.00',26.12.2014,05.2015
69-ПЭО/14,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСЗЕЛЕНХОЗ""",Услуги по аренде прочих машин и оборудования,'48000000.00',26.12.2014,05.2015
69-ПЭО/14,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСЗЕЛЕНХОЗ""",Услуги по аренде прочих машин и оборудования,'48000000.00',26.12.2014,05.2015
28ПД7/12-ЭА/2-2015,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ЦЕНТР НЕДВИЖИМОСТИ""",Работы общестроительные по ремонту административных и торговых зданий,'13882839.30',09.06.2015,12.2015
28ПД7/12-ЭА/2-2015,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ЦЕНТР НЕДВИЖИМОСТИ""",Работы общестроительные по ремонту административных и торговых зданий,'13882839.30',09.06.2015,12.2015
28ПД7/12-ЭА/2-2015,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ЦЕНТР НЕДВИЖИМОСТИ""",Работы общестроительные по ремонту административных и торговых зданий,'13882839.30',09.06.2015,12.2015
28ПД7/12-ЭА/2-2015,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ЦЕНТР НЕДВИЖИМОСТИ""",Работы общестроительные по ремонту административных и торговых зданий,'13882839.30',09.06.2015,12.2015
28ПД7/12-ЭА/2-2015,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ЦЕНТР НЕДВИЖИМОСТИ""",Работы общестроительные по ремонту административных и торговых зданий,'13882839.30',09.06.2015,12.2015
14Р20/0173200001415000562,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО КАПИТАЛЬНОМУ РЕМОНТУ МНОГОКВАРТИРНЫХ ДОМОВ ГОРОДА МОСКВЫ ""УКРИС""",Работы общестроительные по ремонту многоквартирных жилых зданий,'49778820.30',10.09.2015,08.2016
14Р20/0173200001415000562,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО КАПИТАЛЬНОМУ РЕМОНТУ МНОГОКВАРТИРНЫХ ДОМОВ ГОРОДА МОСКВЫ ""УКРИС""",Работы общестроительные по ремонту многоквартирных жилых зданий,'33185889.55',10.09.2015,08.2016
14Р20/0173200001415000562,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО КАПИТАЛЬНОМУ РЕМОНТУ МНОГОКВАРТИРНЫХ ДОМОВ ГОРОДА МОСКВЫ ""УКРИС""",Работы общестроительные по ремонту многоквартирных жилых зданий,'49778820.30',10.09.2015,08.2016
14Р20/0173200001415000562,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО КАПИТАЛЬНОМУ РЕМОНТУ МНОГОКВАРТИРНЫХ ДОМОВ ГОРОДА МОСКВЫ ""УКРИС""",Работы общестроительные по ремонту многоквартирных жилых зданий,'33185889.55',10.09.2015,08.2016
14Р20/0173200001415000562,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО КАПИТАЛЬНОМУ РЕМОНТУ МНОГОКВАРТИРНЫХ ДОМОВ ГОРОДА МОСКВЫ ""УКРИС""",Работы общестроительные по ремонту многоквартирных жилых зданий,'49778820.30',10.09.2015,08.2016
14Р20/0173200001415000562,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО КАПИТАЛЬНОМУ РЕМОНТУ МНОГОКВАРТИРНЫХ ДОМОВ ГОРОДА МОСКВЫ ""УКРИС""",Работы общестроительные по ремонту многоквартирных жилых зданий,'33185889.55',10.09.2015,08.2016
14Р20/0173200001415000562,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО КАПИТАЛЬНОМУ РЕМОНТУ МНОГОКВАРТИРНЫХ ДОМОВ ГОРОДА МОСКВЫ ""УКРИС""",Работы общестроительные по ремонту многоквартирных жилых зданий,'49778820.30',10.09.2015,08.2016
14Р20/0173200001415000562,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО КАПИТАЛЬНОМУ РЕМОНТУ МНОГОКВАРТИРНЫХ ДОМОВ ГОРОДА МОСКВЫ ""УКРИС""",Работы общестроительные по ремонту многоквартирных жилых зданий,'33185889.55',10.09.2015,08.2016
14Р20/0173200001415000562,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО КАПИТАЛЬНОМУ РЕМОНТУ МНОГОКВАРТИРНЫХ ДОМОВ ГОРОДА МОСКВЫ ""УКРИС""",Работы общестроительные по ремонту многоквартирных жилых зданий,'49778820.30',10.09.2015,08.2016
14Р20/0173200001415000562,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО КАПИТАЛЬНОМУ РЕМОНТУ МНОГОКВАРТИРНЫХ ДОМОВ ГОРОДА МОСКВЫ ""УКРИС""",Работы общестроительные по ремонту многоквартирных жилых зданий,'33185889.55',10.09.2015,08.2016
0373200124515000010-0091090-02,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'41395000.00',19.05.2015,07.2015
0373200124515000010-0091090-02,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'41395000.00',19.05.2015,07.2015
0373200124515000010-0091090-02,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'41395000.00',19.05.2015,07.2015
0373200124515000010-0091090-02,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'41395000.00',19.05.2015,07.2015
0373200124515000010-0091090-02,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'41395000.00',19.05.2015,07.2015
0373200124515000013-0091090-01,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'48600000.00',16.04.2015,06.2015
0373200124515000013-0091090-01,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'48600000.00',16.04.2015,06.2015
0373200124515000013-0091090-01,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'48600000.00',16.04.2015,06.2015
0373200124515000013-0091090-01,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'48600000.00',16.04.2015,06.2015
0373200124515000013-0091090-01,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'48600000.00',16.04.2015,06.2015
0373200124515000022-0091090-01,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'28900000.00',27.04.2015,06.2015
0373200124515000022-0091090-01,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'28900000.00',27.04.2015,06.2015
0373200124515000022-0091090-01,Государственное казенное учреждение города Москвы Дирекция капитального ремонта Департамента капитального ремонта города Москвы,Работы общестроительные по устройству дорожных покрытий магистральных дорог и улиц городов,'28900000.00',27.04.2015,06.2015
